butterfly_common,genus,species,butterfly_scientific,family,subfamily,spp_greatest_cyesnservatiyesn_need,l48_status,plant_host_family
Great Spangled Fritillary,Speyeria,cybele,Speyeria cybele,Nymphalidae,Heliconiinae,yes,native,Violaceae
Regal Fritillary,Speyeria,idalia,Speyeria idalia,Nymphalidae,Heliconiinae,no,native,Violaceae
Gray Hairstreak,Strymon,melinus,Strymon melinus,Lycaenidae,Theclinae,,native,
Southern Cloudywing,Thorybes,bathyllus,Thorybes bathyllus,Hesperiidae,Pyrginae,yes,native,
Unknown Cloudywing,Thorybes,sp.,Thorybes sp.,Hesperiidae,Pyrginae,unknown,unknown,unknown
European Skipper,Thymelicus,lineola,Thymelicus lineola,Hesperiidae,Hesperiinae,yes,exotic,Poaceae
Unknown Skipper,,,Unknown Hesperiid,Hesperiidae,–,unknown,unknown,unknown
Unknown Butterfly,,,Unknown Lepidoptera,–,–,unknown,unknown,unknown
Unknown Gossamer-Wing,,,Unknown Lycaenid,Lycaenidae,–,unknown,unknown,unknown
Unknown Brush-Foot,,,Unknown Nymphalid,Nymphalidae,–,unknown,unknown,unknown
Unknown Swallowtail,,,Unknown Papilionid,Papilionidae,–,unknown,unknown,unknown
Unknown Pierid,,,Unknown Pierid,Pieridae,–,unknown,unknown,unknown
Red Admiral,Vanessa,atalanta,Vanessa atalanta,Nymphalidae,Nymphalinae,yes,native,Urticaceae
Painted Lady,Vanessa,cardui,Vanessa cardui,Nymphalidae,Nymphalinae,yes,native,Asteraceae
Unknown Lady,Vanessa,sp.,Vanessa sp.,Nymphalidae,Nymphalinae,unknown,unknown,unknown
American Lady,Vanessa,virginiensis,Vanessa virginiensis,Nymphalidae,Nymphalinae,yes,native,Asteraceae
Northern Broken-Dash,Wallengrenia,egeremet,Wallengrenia egeremet,Hesperiidae,Hesperiinae,,native,
Southern Dogface,Zerene,cesonia,Zerene cesonia,Pieridae,Coliadinae,,native,
