nectar_common,genus,species,nectar_scientific,family,seedmix,l48_status,other_common_names
Wild Lettuce,Lactuca,virosa,Lactuca virosa,Asteraceae,O,E,
White Vetch,Lathyrus,sativus,Lathyrus sativus,Fabaceae,O,E,
Fieldcress,Lepidium,campestre,Lepidium campestre,Brassicaceae,O,E,Field Pepperweed
Round-headed Bush Clover,Lespedeza,capitata,Lespedeza capitata,Fabaceae,X,N,
Prairie Bush Clover,Lespedeza,leptostachya,Lespedeza leptostachya,Fabaceae,O,N,
Oxeye Daisy,Leucanthemum,vulgare,Leucanthemum vulgare,Asteraceae,O,E,
Cylindrical blazing star,Liatris,cylindracea,Liatris cylindracea,Asteraceae,X,N,
Prairie Blazing Star,Liatris,pycnostachya,Liatris pycnostachya,Asteraceae,X,N,
Unknown Blazing Star,Liatris,sp.,Liatris sp.,Asteraceae,–,–,
Turk's-Cap Lily,Lilium,superbum,Lilium superbum,Liliaceae,O,N,
Grooved Yellow Flax,Linum,sulcatum,Linum sulcatum,Linaceae,O,N,
Hairy Puccoon,Lithospermum,caroliniense,Lithospermum caroliniense,Boraginaceae,O,N,
Cardinal flower,Lobelia,cardinalis,Lobelia cardinalis,Campanulaceae,X,N,
Great blue lobelia,Lobelia,siphilitica,Lobelia siphilitica,Campanulaceae,X,N,
Pale Spike Lobelia,Lobelia,spicata,Lobelia spicata,Campanulaceae,X,N,
Birdsfoot Trefoil,Lotus,corniculatus,Lotus corniculatus,Fabaceae,O,E,
American Bugleweed,Lycopus,americanus,Lycopus americanus,Lamiaceae,O,N,
Fringed Loosestrife,Lysimachia,ciliata,Lysimachia ciliata,Primulaceae,O,N,
Winged Loosestrife,Lythrum,alatum,Lythrum alatum,Lythraceae,O,N,
Unknown Loosestrife,Lythrum,sp.,Lythrum sp.,Lythraceae,–,–,
Black Medick,Medicago,lupulina,Medicago lupulina,Fabaceae,O,E,
Alfalfa,Medicago,sativa,Medicago sativa,Fabaceae,O,E,
Virginia Bunchflower,Melanthium,virginicum,Melanthium virginicum,Liliaceae,O,N,
White Sweet Clover,Melilotus,albus,Melilotus albus,Fabaceae,O,E,
Yellow Sweet Clover,Melilotus,officinalis,Melilotus officinalis,Fabaceae,O,E,
Unknown Sweet Clover,Melilotus,sp.,Melilotus sp.,Fabaceae,O,E,
Field Mint,Mentha,arvensis,Mentha arvensis,Lamiaceae,O,N,
Wild Bergamot,Monarda,fistulosa,Monarda fistulosa,Lamiaceae,X,N,Bee Balm
Catnip,Nepetia,cataria,Nepetia cataria,Lamiaceae,O,E,
No Nectar Plants,–,–,No Nectar Plants,–,–,–,
Primrose,Oenothera,biennis,Oenothera biennis,Primulaceae,X,N,
Yellow Oxalis,Oxalis,stricta,Oxalis stricta,Oxalidaceae,O,N,Wood Sorrel
Prairie Ragwort,Packera,plattensis,Packera plattensis,Asteraceae,O,N,Prairie Groundsel
Wild Quinine,Parthenium,integrifolium,Parthenium integrifolium,Asteraceae,X,N,
Wild Parsnip,Pastinaca,sativa,Pastinaca sativa,Apiaceae,O,E,
Lady's Thumb,Persicaria,maculosa,Persicaria maculosa,Polygonaceae,O,E,
Ground Cherry,Physalis,virginiana,Physalis virginiana,Solanaceae,O,N,
Ribwort Plantain,Plantago,lanceolata,Plantago lanceolata,Plantaginaceae,O,E,Lance-Leaf Plantain; Buckhorn Plantain; Narrowleaf Plantain
Broadleaf Plantain,Plantago,major,Plantago major,Plantaginaceae,O,E,Common Plantain
Unknown Plantain,Plantago,sp.,Plantago sp.,Plantaginaceae,–,–,
Field Milkwort,Polygala,sanguinea,Polygala sanguinea,Polygalaceae,O,N,
Unknown Milkwort,Polygala,sp.,Polygala sp.,Polygalaceae,–,–,
Common Milkwort,Polygala,vulgaris,Polygala vulgaris,Polygalaceae,O,E,
Downy Cinquefoil,Potentilla,intermedia,Potentilla intermedia,Rosaceae,O,E,
Sulfur Cinquefoil,Potentilla,recta,Potentilla recta,Rosaceae,O,E,Rough Fruited Cinquefoil
Common Cinquefoil,Potentilla,simplex,Potentilla simplex,Rosaceae,O,N,
Unknown Cinquefoil,Potentilla,sp.,Potentilla sp.,Rosaceae,–,–,
Self-heal,Prunella,vulgaris,Prunella vulgaris,Lamiaceae,O,N,Heal All
Prairie Turnip,Psoralea,esculenta,Psoralea esculenta,Fabaceae,O,N,
Hairy Mountain Mint,Pycnanthemum,pilosum,Pycnanthemum pilosum,Lamiaceae,O,N,
Unknown Mountain Mint,Pycnanthemum,sp.,Pycnanthemum sp.,Lamiaceae,–,–,
Slender Mountain Mint,Pycnanthemum,tenuifolium,Pycnanthemum tenuifolium,Lamiaceae,X,N,
Whorled Mountain Mint,Pycnanthemum,verticillatum,Pycnanthemum verticillatum,Lamiaceae,O,N,
Tall Mountain Mint,Pycnanthemum,virginianum,Pycnanthemum virginianum,Lamiaceae,O,N,Virginia Mountain Mint
Buttercup,Ranunculus,sp.,Ranunculus sp.,Ranunculaceae,O,E,
Grey-Headed Coneflower,Ratibida,pinnata,Ratibida pinnata,Asteraceae,X,N,
Smooth Sumac,Rhus,glabra,Rhus glabra,Anacardiaceae,O,N,
Prairie Rose,Rosa,arkansana,Rosa arkansana,Rosaceae,O,N,Wild Rose
Multiflora Rose,Rosa,multiflora,Rosa multiflora,Rosaceae,O,E,
Blackberry,Rubus,fruticosus,Rubus fruticosus,Rosaceae,O,E,
Wild Raspberry,Rubus,occidentalis,Rubus occidentalis,Rosaceae,O,N,
Black-Eyed Susan,Rudbeckia,hirta,Rudbeckia hirta,Asteraceae,X,N,
Sweet Black-Eyed Susan,Rudbeckia,subtomentosa,Rudbeckia subtomentosa,Asteraceae,X,N,
Prairie Petunia,Ruellia,humilis,Ruellia humilis,Acanthaceae,X,N,
Unknown Dock,Rumex,sp.,Rumex sp.,Polygonaceae,–,–,
Soapwort,Saponaria,officinalis,Saponaria officinalis,Caryophyllaceae,O,E,
Crown Vetch,Securigera,varia,Securigera varia,Fabaceae,O,E,
Maryland Senna,Senna,marilandica,Senna marilandica,Fabaceae,O,N,
White Campion,Silene,latifolia,Silene latifolia,Caryophyllaceae,O,E,
Rosinweed,Silphium,integrifolium,Silphium integrifolium,Asteraceae,X,N,
Compass Plant,Silphium,laciniatum,Silphium laciniatum,Asteraceae,O,N,
Cup plant,Silphium,perfoliatum,Silphium perfoliatum,Asteraceae,X,N,
Blue-Eyed Grass,Sisyrinchium,angustifolium,Sisyrinchium angustifolium,Iridaceae,X,N,
Horsenettle,Solanum,carolinense,Solanum carolinense,Solanaceae,O,N,
Tall Goldenrod,Solidago,altissima,Solidago altissima,Asteraceae,O,N,
Grass Leaf Goldenrod,Solidago,gramnifolia,Solidago gramnifolia,Asteraceae,O,N,
Missouri Goldenrod,Solidago,missouriensis,Solidago missouriensis,Asteraceae,O,N,
Old Field Goldenrod,Solidago,nemoralis,Solidago nemoralis,Asteraceae,O,N,
Stiff goldenrod,Solidago,rigida,Solidago rigida,Asteraceae,X,N,
Unknown Goldenrod,Solidago,sp.,Solidago sp.,Asteraceae,–,–,
Showy Goldenrod,Solidago,speciosa,Solidago speciosa,Asteraceae,O,N,
Chickweed,Stellaria,media,Stellaria media,Caryophyllaceae,O,E,Lesser Stitchwort
Trailing Wild Bean,Strophostyles,helvola,Strophostyles helvola,Fabaceae,O,N,
Heath Aster,Symphyotrichum,ericoides,Symphyotrichum ericoides,Asteraceae,O,N,
Panicled Aster,Symphyotrichum,lanceolatum,Symphyotrichum lanceolatum,Asteraceae,O,N,
New England Aster,Symphyotrichum,novae-angliae,Symphyotrichum novae-angliae,Asteraceae,O,N,
Sky-blue aster,Symphyotrichum,oolentangiense,Symphyotrichum oolentangiense,Asteraceae,X,N,
Silky aster,Symphyotrichum,sericeus,Symphyotrichum sericeus,Asteraceae,X,N,
Dandelion,Taraxacum,officinale,Taraxacum officinale,Asteraceae,O,N,
Germander,Teucrium,canadense,Teucrium canadense,Lamiaceae,X,N,
Field Pennycress,Thlaspi,arvense,Thlaspi arvense,Brassicaceae,O,E,
Spiderwort,Tradescantia,ohiensis,Tradescantia ohiensis,Commelinaceae,X,N,
Alsike Clover,Trifolium,hybridum,Trifolium hybridum,Fabaceae,O,E,
Red Clover,Trifolium,pratense,Trifolium pratense,Fabaceae,O,E,
White Clover,Trifolium,repens,Trifolium repens,Fabaceae,O,E,
Unknown Clover,Trifolium,sp.,Trifolium sp.,Fabaceae,–,–,
Venus' Looking Glass,Triodanis,perfoliata,Triodanis perfoliata,Campanulaceae,O,N,
Horse Gentian,Triosteum,sp.,Triosteum sp.,Caprifoliaceae,O,E,Orange-Fruited Horse Gentian
Unknown Plant,–,–,Unknown Plantae,–,–,–,
Moth Mullein,Verbascum,blattaria,Verbascum blattaria,Scrophulariaceae,O,N,Prairie Mullein
Common Mullein,Verbascum,thapsus,Verbascum thapsus,Scrophulariaceae,O,E,
Tall Vervain,Verbena,bonariensis,Verbena bonariensis,Verbenaceae,O,E,
Swamp Vervain,Verbena,hastata,Verbena hastata,Verbenaceae,O,N,
Unknown Vervain,Verbena,sp.,Verbena sp.,Verbenaceae,–,–,
Hoary Vervain,Verbena,stricta,Verbena stricta,Verbenaceae,O,N,
White Vervain,Verbena,urticifolia,Verbena urticifolia,Verbenaceae,O,N,
Baldwin's Ironweed,Vernonia,baldwinii,Vernonia baldwinii,Asteraceae,O,N,
Ironweed,Vernonia,fasciculata,Vernonia fasciculata,Asteraceae,X,N,
Corn Speedwell,Veronica,arvensis,Veronica arvensis,Plantaginaceae,O,E,
Culver's Root,Veronicastrum,virginicum,Veronicastrum virginicum,Plantaginaceae,X,N,
Unknown Violet,Viola,sp.,Viola sp.,Violaceae,–,–,
Golden Alexander,Zizia,aurea,Zizia aurea,Apiaceae,X,N,
